ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
GNGZT0829,Dargah (Meera Shaheed),"Nallacheruvu, Guntur","Nallacheruvu, Guntur",0,0,0,6600,2200,8800,8613/173/02-08-2023,526/19-08-2025,6600,2200,8800,4400,0,4400,
GNGZT0843,Ashoorkhana,Vejendla,Vejendla,4.51,0,4.51,4000,4000,8000,,,,,0,4000,4000,8000,
GNGZT0896,Ashoorkhana,Ponnur,Ponnur,5.67,0,5.67,4000,1000,4000,,,,,,4000,1000,5000,
GNGZT0998,Ashoorkhana,Pondugula,Pondugula,4.65,0,4.65,4000,1000,4000,,,,,,4000,1000,5000,
GNGZT1065,Ashoorkhana,Bayyavaram,Bayyavaram,9.85,0,9.85,4000,1000,4000,,,,,,4000,1000,5000,
GNGZT1117,Ashoorkhana,Ravulapuram,Ravulapuram,3.7,0,3.7,4000,1000,4000,,,,,,4000,1000,5000,
GNGZT1123,Ashoorkhana,Vanikunta,Vanikunta,3.4,0,3.4,4000,1000,4000,,,,,,4000,1000,5000,
GNGZT0896,Ashoorkhana,Ponnur,Ponnur,5.67,0,5.67,3000,1000,4000,,,,,0,3000,1000,4000,Land under Encroachment  Rqueisition pending at RDO and Tahsildar
GNWBU0001,"Idgah & Burial Ground, Munugodu","Munugodu, Amaravathi","Munugodu, Amaravathi",0,0,0,2800,350,3150,,,,,0,2800,350,3150,Land under Encroachment  Rqueisition pending at RDO and Tahsildar
GNGZT0837,Dargah               ( Naimathullah Sha),Tadikonda,Tadikonda,48.33,0,48.33,25500,11360,36860,"3111/63/08-04-2025, 3110/63/08-04-2025","53/15-04-2025, 53/15-04-2025",22720,11360,34080,2780,0,2780,
GNGZT1081,Ashoorkhana,Doggiparu /Medikonduru,Doggiparu /Medikonduru,4.69,0,4.69,2400,7200,9600,8604/173/11-07-2025,445/04-08-2025,,4500,4500,2400,2700,5100,
GNGZT1061,Ashoorkhana,Ponugupadu,Ponugupadu,13.4,0,13.4,22100,20100,42200,8626/173/15-09-2025,718/13-10-2025,22100,20100,42200,0,0,0,subject to audit
GNGZT0819,Ashoorkhana (Bade Nal Saheb Panja),Guntur,Guntur,0,0,0,2400,1200,3600,,,,,0,2400,1200,3600,Land under Encroachment  Rqueisition pending at RDO and Tahsildar
GNGZT0872,Arab Shah Dargah Sangadigunta,Guntur,Guntur,0,0,0,1500,500,2000,,,,,0,1500,500,2000,
GNGZT0859,Dargah ( Baji Shaheed ),Pedakakani,Pedakakani,44.49,0,44.49,46298,1226722,1273020,"3123/63/27-05-2025, 8609/173/29-07-2025, 8601/173/01/07/2025,8623/173/01-09-2025, 8629/173/10-10-2028, 8631/172/30-10-2025","218/28-05-2025, 447/04/08/2025, 442/04/08/2025, 609/08-09-2025",46298,553702,600000,0,673020,673020,"Haq-e-Intezam 3121/63/27-05-2025, 217/28-05-2025, of Rs.2,00,000/-"
GNGZT1049,Big Mosque,Ameenabad,Ameenabad,35.79,0,35.79,0,15000,15000,,,,,0,0,15000,15000,
GNGZT1136,Hzt Chinnisha Mastan Vali Dargah,Guntur,Guntur,0,0,0,26940,13440,40380,"3109/63/07-04-2025, 8616/173/14-08-2025","42/09-04-2025, 528/19-08-2025",26940,,26940,0,13440,13440,
GNGZT0832,Ashoorkhana,Tadikonda,Tadikonda,11.25,0,11.25,11550,11550,23100,3117/63/12-05-2025,173/15-05/2025,11550,,11550,0,11550,11550,
GNGZT0834,Ashookhana,Tadikonda,Tadikonda,11.28,0,11.28,0,11550,11550,,,,,0,0,11550,11550,
GNGZT0861,Ashoorkhana,Pamulapadu,Pamulapadu,7.09,0,7.09,21270,10635,31905,8617/173/16-08-2025,554/25-08-2025,21270,3730,25000,0,6905,6905,subject to audit
