ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
NLGZT0088,"Jamia Mosque, Kandukur",Kandukur,Kandukur,79.03,,,0,0,0,,,,,0,0,0,0,
NLGZT0089,"Jamia Mosque & Peshimam Service, Kandukur",Kandukur,Anandapuram,192.31,,,0,0,0,,,,,0,0,0,0,
NLGZT0090,"Dargah, Kandukuru & Anandapuram",Kandukur,Kandukur,59.19,,,0,0,0,,,,,0,0,0,0,
NLGZT0092,"WaterPoldal, Kandukuru",Kandukur,Chilukupadu,72.17,,,0,0,0,,,,,0,0,0,0,
NLGZT0093,"Mosque, Anandapuram & Chilukupadu",Kandukur,"Anandapuram, Mahadevapuram & Kandukuru",98.66,,,0,0,0,,,,,0,0,0,0,
NLGZT0095,"Jamia Mosque & Mousam Service, Kandukuru ",,,46.08,,,0,0,0,,,,,0,0,0,0,
NLGZT0005,Ashoorkhana,Podlakur,Mahmoodapuram,,,0.88,0,,0,,,,,0,0,0,0,
NLGZT0007,Ashoorkhana,Chejerla,,,,0.58,0,,0,,,,,0,0,0,0,
NLGZT0008,Ashoorkhana,Chejerla,,,,5.33,0,,0,,,,,0,0,0,0,
NLGZT0010,Ashoorkhana,Chejerla,,,,0.81,0,,0,,,,,0,0,0,0,
NLGZT0012,Ashoorkhana,A.S.Peta,Dobigunta,,,4.71,0,,0,,,,,0,0,0,0,
NLGZT0013,Ashoorkhana,Podlakur,Tatiparthi,,,8.88,0,,0,,,,,0,0,0,0,
NLGZT0032,Mosque,Kaluvoya,Kaluvoya,,,73.96,0,,0,,,,,0,0,0,0,
NLGZT0096,Ashoorkhana,Kaligiri,Kaligiri,,,24.37,0,,0,,,,,0,0,0,0,
NLGZT0102,Ashoorkhana,Dagadarthi,Rangasamudram,,,4.44,0,,0,,,,,0,0,0,0,
NLGZT0104,Ashoorkhana,Kondapuram,Gudlavallur,,,11.43,0,,0,,,,,0,0,0,0,
NLGZT0105,Dargah,Dagadarthi,Rangasamudram,,,0.75,0,,0,,,,,0,0,0,0,
NLGZT0142,Takiya,Kovur,Kovvur,,,13.49,0,,0,,,,,0,0,0,0,
NLGZT0150,Ashoorkhana,Kodavallur,Kodavallur,,,0.8,0,,0,,,,,0,0,0,0,
NLGZT0187,Ashoorkhana,ThotapalliGudur,Varigunda,,,1.56,0,,0,,,,,0,0,0,0,
NLGZT0188,Mosque,ThotapalliGudur,Varigunda,,,1.56,0,,0,,,,,0,0,0,0,
NLGZT0191,Takiya,Venkatachalam,Survepalle,,,2.89,0,,0,,,,,0,0,0,0,
NLGZT0192,Mosque,Venkatachalam,Sarvepalle,,,9.81,0,,0,,,,,0,0,0,0,
