ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
VSGZT0082,Bada panja ,"Fort Ward, Visakhapatnam","Fort Ward, Visakhapatnam",,,-,0,0,0,,,,,0,0,0,0,Not funtioning and no income
VSGZT0083,Baraq Panja,"Fort Ward, Visakhapatnam","Fort Ward, Visakhapatnam",,,-,0,0,0,,,,,0,0,0,0,"The management has paying waqf fund including  another serial No`s. 86 & 99  with this masjid  S. No.98, because three institutions havee collected from the committee. "
VSGZT0084,Devanam Devidi,"Kurupam Market, Visakhapatnam","Kurupam Market, Visakhapatnam",,,,0,0,0,,,,,0,0,0,0,land acquired and allocated Ac.0.73 cts and its income derived to main institutin S NO. 98
VSGZT0087,Masjdi E Alfatha ,Marripalem,Marripalem,,,-,0,0,0,,,,,0,0,0,0,The Govement acquired land for NTPC AND HNPCL and its FDR desposited in waqf Board
VSGZT0088,Masjid E Quba ,Muslim Tatichetlapalem,Muslim Tatichetlapalem,,,-,0,0,0,,,,,0,0,0,0,The land was resumed
VSGZT0089,Jamia Masjid,Azeemabad Gajuwaka,Azeemabad Gajuwaka,,,-,0,0,0,,,,,0,0,0,0,the land is under encroachement and its lie of land is pending to allocate inplace of regularize to slum dwellers
VSGZT0091,Jamia Masjid ,Islampeta ,Islampeta ,,,-,0,0,0,,,,,0,0,0,0,under encraochment
VSGZT0092,Noori Masjid ,Chinnapalem ,Chinnapalem ,,,-,0,0,0,,,,,0,0,0,0,
VSGZT0093,Masjid Ul Momineen ,Peddapalem,Peddapalem,,,-,0,0,0,,,,,0,0,0,0,
VSGZT0094,Dolphin Nose Mosque,Gajuwaka ( v),Gajuwaka ( v),,,-,0,0,0,,,,,0,0,0,0,No income 
VSGZT0095,Jamia Mosque,Duvada( devada ) ,Duvada( devada ) ,,,-,0,0,0,,,,,0,0,0,0,No income 
VSGZT0096,Masjid E Raza ,China Dewada,China Dewada,,,-,0,0,0,,,,,0,0,0,0,No income 
VSGZT0097,Peerla Panja,Devada ,Devada ,,,-,0,0,0,,,,,0,0,0,0,
VSGZT0101,Alamgir Mosque,Yarada ( v),Yarada ( v),"Dry 361.99 , Porambok Ac. 1782.09. Cts ",wet  18.36,,0,0,0,,,,,0,0,0,0,No income 
VSROW0003,Peerla Panja,Seethampeta,Seethampeta,,,"4.52,   4.10",0,0,0,,,,,0,0,0,0,No income 
VSROW0004,"F.No. A1/VSP/25/87, Dated: 16-10-1993. (Remarks: Unsigned) in page 3,151",Visakhapatnam Rural,Visakhapatnam Rural,-,55,0.3,0,0,0,,,,,0,0,0,0,No income 
VSROW0005,Masjid E Usmania ,Pothinamallayapalem(V),Pothinamallayapalem(V),-,63/1,534 Sq. Yards,4120,0,4120,2881/58/20-11-2025,,4120,,4120,0,0,0,Subject to Audit
VSROW0006,"F.No. b3/66/VSP/1999-2, Dated: 08-05-2003.  in page 6,152",Visakhapatnam Rural,Visakhapatnam Rural,-,40,Ac0.50 Cts,0,0,0,,,,,0,0,0,0,
VSROW0007,Burial Ground,Marripalem (V),Marripalem (V),-,113 part,Ac. 0-20.5 Cts,0,0,0,,,,,0,0,0,0,Under D M (7%)
VSROW0008,Muslim Burial Ground of Dawoodi Bohra Shia ,Visakhapatnam Rural,Visakhapatnam Rural,-,113/2,Ac.2.29 cts ,0,0,0,,,,,0,0,0,0,
VSROW0009,Ishaquiya Masjid and Mardsa darul Uloom Ghareed Nawaz,"Nunavarthi(V), Achutapuram (M)","Nunavarthi(V), Achutapuram (M)",-,SY No.1 / 4,Ac.0.10 cts ,0,0,0,,,,,0,0,0,0,
VSGZT0004,Mohammadi masjid  of Shia Dawoodi Bohara Jamaat  G+3 Building ,Yendada (V),Yendada (V),-,25-Jan,248.29 Sq. Yards,0,0,0,,,,,0,0,0,0,Collected previous years arrears by assessing the budget by Khuddus sir
VSROW0010,Masjid A Qadir Ahle Sunnat Wal Jamaat,Marripalem,Marripalem,-,T.S.No. 91/B in LP No. 80/91,73 Sq. Yards,0,0,0,,,,,0,0,0,0,
