ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
ATGZT1378,Dhobi Bada Ashurkhana,Rayadurgam,Rayadurgam,,,Nil,0,0,0,,,,,0,0,0,0,No Income
ATGZT1379,Ashurkhana,Rayadurgam,Rayadurgam,,,Nil,0,0,0,,,,,0,0,0,0,
ATGZT1380,Kanta Ashurkhana,Rayadurgam,Rayadurgam,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection
ATGZT1381,Ashurkhana,Rayadurgam,Rayadurgam,,,Nil,0,0,0,,,,,0,0,0,0,
ATGZT1382,Ashurkhana,Rayadurgam,Rayadurgam,,,Nil,0,0,0,,,,,0,0,0,0,No Income
ATGZT1383,Chandana Ashurkhana,Pedda eklum,Pedda eklum,,,Nil,0,0,0,,,,,0,0,0,0,Under Encroachment
ATGZT1384,Ashurkhana,Pedda eklum,Pedda eklum,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection
ATGZT1385,Bade Ghar Ki Makan Ashurkhana,Pedda eklum,Pedda eklum,,,Nil,0,0,0,,,,,0,0,0,0,
ATGZT1386,Ashurkhana,Pedda eklum,Pedda eklum,,,Nil,0,0,0,,,,,0,0,0,0,
ATGZT1387,Ashurkhana,Pedda eklum,Pedda eklum,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection No payment done till now
ATGZT1388,Ashurkhana,Pedda eklum,Pedda eklum,,,Nil,0,0,0,,,,,0,0,0,0,No Income
ATGZT1389,"Ashurkhana, Vamulapadu",Vemulapadu,Vemulapadu,"5.7,           2.29",,"5.7,             2.29",0,0,0,,,,,0,0,0,0,No Income
ATGZT1391, Bade Makan,Yadiki,Yadiki,,,Nil,0,0,0,,,,,0,0,0,0,No income
ATGZT1395,"Ashurkhana, Aluru",Aluru,Aluru,Nil,,Nil,0,0,0,,,,,0,0,0,0,No income
ATGZT1396,Mosque,Rayalacheruvu,Rayalacheruvu,,,Nil,0,0,0,,,,,0,0,0,0,No income
ATGZT1397,Ashurkhana,Rayalacheruvu,Rayalacheruvu,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection No payment done till now
ATGZT1399,"Ashurkhana, Tutralapalli",Tutralapalli,Tutralapalli,3.91,,3.91,0,0,0,,,,,0,0,0,0,
ATGZT1400,"Ashurkhana, Chandana",Chandana,Chandana,7.74,,7.74,0,0,0,,,,,0,0,0,0,No Income
ATGZT1401,Boudi valon Ki Masjid,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection No payment done till now
ATGZT1402,Roza Masjid,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection No payment done till now
ATGZT1403,Mosque,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection
ATGZT1405,Asar Masjid,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection
ATGZT1406,Raichur Valon ki masjid,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection
ATGZT1408,Mosque,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,No Income
ATGZT1412,Asar E Sharif,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection No payment done till now
ATGZT1413,Ashurkhana,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection
ATGZT1414,Mosque,Vennapusapalli,Vennapusapalli,,,Nil,0,0,0,,,,,0,0,0,0,
ATGZT1418,Mosque,Singavaram,Singavaram,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection No payment done till now
ATGZT1425,"Masjid, Rayalacheruvu",Rayalacheruvu,Rayalacheruvu,"0.94,   0.02",,"0.94,   0.02",0,0,0,,,,,0,0,0,0,No Income
ATGZT1426,peshimam service,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,No Income
ATGZT1427,Mouzan service,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,No Income
ATGZT1428,peshimam service,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,No Income
ATGZT1429,peshimam service,tadipatri,tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,No Income
ATGZT1430,Mouzan service,Tadipatri,Tadipatri,,,Nil,0,0,0,,,,,0,0,0,0,
ATGZT1433,Peta Masjid,Uravakonda,Uravakonda,Nil,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection
ATGZT1439,Chinna Masjid,Vajrakaru,Vajrakaru,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection No payment done till now
ATGZT1440,Honnur Saheb Darga,malapuram,malapuram,,,Nil,0,0,0,,,,,0,0,0,0,No Income
ATGZT1445, Bada Ashurkhana,Konakondla,Konakondla,,,Nil,0,0,0,,,,,0,0,0,0,No income
ATGZT1446,Makandar Ashurkhana,Konakondla,Konakondla,,,Nil,0,0,0,,,,,0,0,0,0,No Income
ATGZT1447,Ali Akbar Ashurkhana,Konakondla,Konakondla,,,Nil,0,0,0,,,,,0,0,0,0,Paid as per Audit Report
ATGZT1448,"Jamia Masjid, Konakondla",Konakondla,Konakondla,5.05,,5.05,0,0,0,,,,,0,0,0,0,
ATGZT1449, Hussain Saheb Ashurkhana,Konakondla,Konakondla,,,Nil,0,0,0,,,,,0,0,0,0,Waqf fund assess for 2023-24 basing upon the audit report 
ATGZT1450,"Ashurkhana, Nimbagall",Nimbagall,Nimbagall,5.66,,5.66,0,0,0,,,,,0,0,0,0,As per Audit Report IA Changed the Current demand
ATGZT1454,Mosque,Vajrakaru,Vajrakaru,,,Nil,0,0,0,,,,,0,0,0,0,No Income
ATGZT1455,Mosque,Uravakonda,Uravakonda,,,Nil,0,0,0,,,,,0,0,0,0,
ATGZT1456,Zainabee darga,Uravakonda,Uravakonda,,,Nil,0,0,0,,,,,0,0,0,0,Need Inspection
ATROW0006,Maldar Masjid,Gooty,Gooty,,,,0,0,0,,,,,0,0,0,0,
ATGZT1148,Mosque,Narpala,Narpala,,,Nil,0,,0,,,,,0,0,0,0,Need Inspection No payment done till now
ATGZT1159,Ashurkhana,Yuraguntla,Yuraguntla,,,NIL,0,,0,,,,,0,0,0,0,No Income
ATGZT1161,"Makan, Gugudu",Gugudu,Gugudu,2,,2,0,,0,,,,,0,0,0,0,No Income
ATGZT1164,Ashurkhana,Jellapalli,Jellapalli,,,Nil,0,,0,,,,,0,0,0,0,No Income
ATGZT1165,Ashurkhana,Marthadu,Marthadu,,,Nil,0,,0,,,,,0,0,0,0,No Income
ATGZT1167,Darga,Bukkarayasamudram,Bukkarayasamudram,,,Nil,0,,0,,,,,0,0,0,0,No Income
ATGZT1168,Darga,Bukkarayasamudram,Bukkarayasamudram,,,Nil,0,,0,,,,,0,0,0,0,No Income
ATGZT1169,Ashurkhana,Anantapuramu,Anantapuramu,,,Nil,0,,0,,,,,0,0,0,0,No Income
ATGZT1172,Ashurkhana,Anantapuramu,Anantapuramu,,,NIl,0,,0,,,,,0,0,0,0,
ATGZT1173,Takiya,Anantapuramu,Anantapuramu,,,NIl,0,,0,,,,,0,0,0,0,Subject to Audit
ATGZT1175,Ashurkhana,Anantapuramu,Anantapuramu,,,NIl,0,,0,,,,,0,0,0,0,No Income
ATGZT1177,Idgah,,,,,Nil,0,,0,,,,,0,0,0,0,Need Inspection
ATGZT1193,Ashurkhna,Gooty,Gooty,,,Nil,0,,0,,,,,0,0,0,0,
ATGZT1203,Ashurkhana,Appecherla,Appecherla,,,Nil,0,,0,,,,,0,0,0,0,No Income
ATGZT1209,Bada Makan,Chitrachedu,Chitrachedu,,,Nil,0,,0,,,,,0,0,0,0,
ATGZT1211,Chota Makan,Chitrachedu,Chitrachedu,,,Nil,0,,0,,,,,0,0,0,0,
ATGZT1213,Masjid E Jumma,Peddavaduguru,Peddavaduguru,nil,,nil,0,,0,,,,,0,0,0,0,
ATGZT1216,Masjid E Jumma (Fort),Gooty,Gooty,,,Nil,0,,0,,,,,0,0,0,0,
ATGZT1233,Ashurkhana,Guntakal,Guntakal,Nil,,Nil,0,,0,,,,,0,0,0,0,No Income
ATGZT1234,Makan,Thimmamcherla,Thimmamcherla,Nil,,Nil,0,,0,,,,,0,0,0,0,No Income
ATROW0007,Masjid-E-Umer,Gooty,,,,,10000,,10000,2544/51/13-11-2025,802/18-11-2025,10000,,10000,0,0,0,
ATGZT1367,Shabad Diwan Malang Ahale Thabakhat Dargah,kallubola,kallubola,,,Nil,0,,0,,,,,0,0,0,0,
