ap_gazette_no,institution_name,village,mandal,extent_dry,extent_wet,extent_total,demand_arrears,demand_current,demand_total,receiptno_date,challanno_date,collection_arrears,collection_current,collection_total,balance_arrears,balance_current,balance_total,remarks
KLGZT1906,Mosque Sunni,Veldurthi,Lanja Banda (Lakshimi Nagaram),104.88,0,104.88,20000,10000,30000,,,,,0,20000,10000,30000,
KLGZT1940,Ashoor Khana Sunni,Veldurthi,Cherkulapadu,24.22,0,24.22,35000,10000,45000,,,,,0,35000,10000,45000,No income
KLGZT2086,Mosque Sunni,Gudur,K.Nagalapuram,24.7,0,24.7,30000,10000,40000,,,,,0,30000,10000,40000,
KLGZT3056,Mosque Sunni,Orvakal,Puricherla,67.63,0,67.63,40000,10000,50000,,,,,0,40000,10000,50000,No Income Under Encroachment
KLGZT2043,Mosque Sunni,Kallur,Konganapadu,19-34,0,19-34,0,9920,9920,3134/63/07-08-2025,522/18-08-2025,,9750,9750,0,170,170,
KLGZT3065,Masjid Sunni,Orvakal,Uppalapadu,57.48,0,57.48,150000,9600,159600,3140/63/22-08-2025,699/08-10-2025,150000,,150000,0,9600,9600,subject to audit
KLGZT2036,Ashurkhana Sunni,Kallur,Nayakallu,23-14,0,23-14,32200,9200,41400,,,,,0,32200,9200,41400,Under Court Case
KLGZT3014,Peta Mosque Sunni,Gudur,Gudur,23.47,0,23.47,32200,9200,41400,,,,,0,32200,9200,41400,No Income
KLGZT3027,Ashurkhana Sunni,C.Belagal ,Brahmanadoddi,16.2,2.4,18.6,0,9000,9000,,,,,0,0,9000,9000,new
KLGZT3059,Choty Masjid Sunni,Kurnool,E.Thandrapadu,22.19,0,22.19,35504,8876,35504,,,,,0,35504,8876,44380,No income
KLGZT1973,Peerla Panja Sunni,Krishnagiri ,Shotriem yerragudi,22.34,0,22.34,30800,8800,39600,,,,,0,30800,8800,39600,
KLGZT2038,Mosque Sunni,Kurnool,Rudravaram,22-14,0,22-14,30800,8800,39600,,,,,0,30800,8800,39600,
KLGZT3062,Mosque Sunni,Kurnool,Pudur,195-48,0,195.48,7100,8500,15600,"2911/59/19-05-2025, 2910/59/16-05-2025","245/04-06-2025, 247/04-06-2025",7100,8500,15600,0,0,0,
KLGZT1908,Mosque Sunni,Veldurthi,Ramallakota,6-00,0,6-00,40000,8000,48000,,,,,0,40000,8000,48000,No Income Alienated
KLGZT2067,Mosque Sunni,Orvakal,Kannamadakala,40.99,0,40.99,40000,8000,48000,,,,,0,40000,8000,48000,New
KLGZT3060,Mosque Sunni,Kurnool,Mamidalapadu,20.7,0,20.7,28000,8000,36000,,,,,0,28000,8000,36000,alienation
KLGZT3096,Yahu Mosque Sunni,Kurnool,Kurnool,72-26,0,72-26,8150,8000,16150,3546/71/17-04-2025,73/21-04-2025,8150,,8150,0,8000,8000,No Income
KLWBU0001,Masjid Azeemuddin ,Kurnool,Azeemuddin Nagar,,,,70465,7980,78445,3542/71/29-03-2025,73/21-04-2025,70465,0,70465,0,7980,7980,subject to audit and arrears collected upto 2024-2025
KLGZT2096,Mosque Sunni,Kurnool,Munagalapadu,15-68,0,15-68,7840,7840,15680,2907/59/09-05-2025,249/04-06-2025,4500,,4500,3340,7840,11180,No Income
KLGZT3040,Fort Mosque Sunni,Kallur,Lanjapulor @ lakshmipuram,218-13,0,218-13,7500,7500,15000,,,,,0,7500,7500,15000,Houses 4
KLNGT0001,Dargah Hzt.Khadar Basha and Mosque & Gravy Yard,Kurnool,Kurnool,,,,7500,7500,15000,2924/59/17-06-2025,355/14-07-2025,7500,,7500,0,7500,7500,No Income
KLGZT1955,Peerla Panja Sunni,Veldurthi,Mallepalle,18.16,0,18.16,25200,7200,32400,,,,,0,25200,7200,32400,
KLGZT1975,Peerla Chavidi Sunni,Krishnagiri ,Mannegunta,15.77,0,15.77,24800,7200,32000,,,,,0,24800,7200,32000,
KLGZT3145,Roze ki Masjib ,Kurnool,Kurnool,0,0,0,14138,7069,21207,,,,,0,14138,7069,21207,
KLGZT2028,Mosque Sunni,Kallur,Chinnatekur,0,0,,33000,7000,40000,8762/176/04-12-2025,,33000,7000,40000,0,0,0,No Income
KLGZT2089,Ashurkhana Sunni,Kodumur,Anugonda,36.95,0,36.95,35000,7000,42000,,,,,0,35000,7000,42000,No income
KLGZT3010,Mosque Sunni,Kurnool,G.Singavaram,56-95,0,56-95,19950,7000,26950,,,,,0,19950,7000,26950,alienated
KLGZT3095,Idru Sahib Masjid  Chittarwadi,Kurnool,Kurnool,shops,0,shops,28000,7000,35000,,,,,0,28000,7000,35000,alienation
KLGZT3126,Hussaini Mosque,Kurnool,Kurnool,19-78,0,19-78,28000,7000,35000,,,,,0,28000,7000,35000,no income
KLGZT2071,Mosque Sunni,Orvakal,Orvakal,16.5,0,16.5,19800,6600,26400,,,,,0,19800,6600,26400,No Income
KLGZT1939,Peerla Panja Sunni,Krishnagiri ,Agavely,16.36,0,16.36,14800,6400,21200,8753/176/25-11-2025,,14800,,14800,0,6400,6400,Under Encraochment
KLGZT3048,Gharib Sha Dargha Sunni,Kurnool,Gargeyapuram,17-54,0,17-54,19200,6400,19200,,,,,0,19200,6400,25600,alienation
KLGZT3103,Masoom Basha Dargah,Kurnool,Kurnool,72-92,0,72-92,21000,6000,27000,,,,,0,21000,6000,27000,
KLGZT1901,Mosque Sunni,Krishnagiri ,Amakatadu,13.35,0,13.35,19600,5600,25200,,,,,0,19600,5600,25200,No Income
KLGZT1954,Peerla Panja Sunni,Krishnagiri ,TallaGokulapadu,14.35,0,14.35,19600,5600,25200,,,,,0,19600,5600,25200,
KLGZT2095,Mosque Sunni,Kodumur,Pulakurthi,14.96,0,14.96,15600,5200,20800,,,,,0,15600,5200,20800,No Income
KLGZT3008,Ashurkhana Sunni,Kallur,Neravadu H/o A.Gokuladu,13.2,0,13.2,18200,5200,23400,,,,,0,18200,5200,23400,No Income
KLGZT3094,Huzur ki Masjid Sunni,Kurnool,Kurnool,0,0,0,35000,5040,40040,8755/176/27-11-2025,,35000,5040,40040,0,0,0,no income
KLGZT1880,jamia Mosque Sunni,Veldurthi,veldurthi,16.96,0,16.96,35000,5000,40000,3547/71/17-04-2025,73/21-04-2025,35000,,35000,0,5000,5000,Subject to Audit arrears enhanced from 5000 to 35000
KLGZT1902,Peerla Panja Sunni,Krishnagiri ,Katarukonda,16.65,0,16.65,35000,5000,40000,,,,,0,35000,5000,40000,new
KLGZT2054,Syed Khader Miah Makhbira,Kurnool,Gondiparla,Sep-73,0,Sep-73,5000,5000,10000,3538/71/26-03-2025,68/21-04-2025,5000,0,5000,0,5000,5000,current amount collected for the year 2024-2025
KLGZT2077,Ashoor Khana Sunni,Kodumur,Krishnapuram H/O Mudumalgurthy,17.47,0,17.47,20000,5000,25000,8751/176/22-11-2025,,15000,,15000,5000,5000,10000,new
KLGZT3054,"Mosque Sunni, R.Konthalapadu (V), KURNOOL (M)",Kurnool,R.Konthalapadu,15-Oct,0,15-Oct,15000,5000,20000,,,,,0,15000,5000,20000,No Income
KLGZT3055,Mosque Sunni,Kurnool,Sunkesula,Dec-80,0,Dec-80,17000,5000,22000,8758/176/03-12-2025,,17000,5000,22000,0,0,0,total land under encroachment
KLGZT3058,Mosque Sunni,Kurnool,Edurur,43-27,0,43-27,20000,5000,25000,,,,,0,20000,5000,25000,
KLGZT3079,Shahensha Mosque alias Syed Hashami Mosque,Kurnool,Kurnool,57-63,0,57-63,5390,4900,10290,3545/71/16-04-2025,74/21-04-2025,5390,,5390,0,4900,4900,No income
KLGZT2055,Masjid at Doddipad,Kurnool,Doddipad H/o Gondiparla,Nov-40,0,Nov-40,16100,4600,20700,,,,,0,16100,4600,20700,Subject to Audit
KLGZT2069,Mosque Sunni,Orvakal,Tippayyapalli,11.43,0,11.43,13716,4572,18288,,,,,0,13716,4572,18288,
KLGZT2063,Ashurkhana Sunni,Orvakal,Komarolu,24.56,0,24.56,4512,4512,9024,,,,,0,4512,4512,9024,only ac.6.00 of land under control
KLGZT1949,Peerla Panja Sunni,Krishnagiri ,Yerukalacheruvu,8.74,0,8.74,0,4500,4500,,,,,0,0,4500,4500,
KLGZT1873,Mosque Sunni,Krishnagiri ,Penumala H/o kambalpadu,10.8,0,10.8,15400,4400,19800,,,,,0,15400,4400,19800,No Income
KLGZT2065,Ashurkhana Sunni,Orvakal,Palakolanu,8.34,0,8.34,4170,4170,8340,,,,,0,4170,4170,8340,
KLGZT2047,Mir Mamu Basha Dargah Sunni,Kurnool,E.Thandrapadu,Sep-70,0,Sep-70,14000,4000,18000,,,,,0,14000,4000,18000,No Income
KLGZT2088,Mosque Sunni,Gudur,Budidipadu,9.92,0,9.92,4000,4000,8000,,,,,0,4000,4000,8000,
KLGZT3105,Hazrath Syed Shah Taher Razvi Khadri Baghdadi Dargah Sunni,Kurnool,Kurnool,21.62,0,21.62,14000,4000,18000,,,,,0,14000,4000,18000,No Income
KLGZT3109,Syed Haji Makdoom Basha Masjid Sunni,Kurnool,Kurnool,9.77,0,9.77,14000,4000,18000,,,,,0,14000,4000,18000,
KLGZT3091,"Kalakarim Masjid, Street No.26",Kurnool,Kurnool,0,0,0,7000,3800,10800,3550/71/29-04-2025,232/02-06-2025,7000,,7000,0,3800,3800,
KLGZT1885,Peerla Panja Sunni,Veldurthi,Boyanapalle,9.3,0,9.3,46800,3600,50400,,,,,0,46800,3600,50400,
KLGZT3149,Shasab Masjid Sunni,Kurnool,Kurnool,Sep-17,0,Sep-17,19627,3600,23227,3548/71/19-04-2025,230/02-06-2025,19627,,19627,0,3600,3600,No Income
KLGZT1977,Peerla Panja Sunni,Veldurthi,Bukkapuram,6.52,0,6.52,10400,3500,13900,8728/175/03-11-2025,,6300,3500,9800,4100,0,4100,total land under encroachment
KLGZT3139,Mosque Sunni,C.Belagal,Padamati Singavaram,16.03,0,16.03,9100,3500,12600,8759/176/03-12-2025,,9100,3500,12600,0,0,0,new
KLGZT2039,Dadabhai Masjid Sunni,Kurnool,Pasupula,8.6,0,Aug-60,14500,5500,20000,3149/63/10/12/2025,,14500,5500,20000,0,0,0,Subject to Audit
KLGZT2053,Ashurkhana Sunni,Kurnool,Gondiparla,Jul-83,0,Jul-83,11200,3200,14400,,,,,0,11200,3200,14400,No Income House-1
KLGZT1958,Mosque Sunni,Veldurthi,Pullagummi,10.08,0,10.08,12000,3000,15000,,,,,0,12000,3000,15000,
KLGZT3047,Gaffar Sahib Mosque Sunni,Kurnool,Gargeyapuram,75-89,0,75-89,0,3000,3000,,,,,0,0,3000,3000,new
KLGZT1971,Hussaini Alam Ashurkhana Sunni,Veldurthi,Ramallakota,6.94,0,6.94,9800,2800,12600,,,,,0,9800,2800,12600,
KLROW0005,"D.Hzt Syed Shah Ameenuddin Hussaini Chistul-Khadri, @Babri Jhanda Kurnool City",Kurnool,Kurnool,,,,5564,2782,8346,,,,,0,5564,2782,8346,court litigation
KLGZT1968,Sillu Bhaigari Ashooe Khana Sunni,Veldurthi,Ramallakota,6.63,0,6.63,9100,2600,11700,,,,,0,9100,2600,11700,
KLGZT2080,Ashoor Khana Sunni,Kodumur,Varukur,26.08,0,26.08,9600,2400,12000,,,,,0,9600,2400,12000,
KLGZT2094,Mosque Sunni,Gudur,Penchikalapadu,10.8,0,10.8,7200,2400,9600,,,,,0,7200,2400,9600,NO Income
